Scenario,Production,Emissions,SteelPrice,CarbonPrice
Reference,136.7260696645826,390.900042247934,187.7592641967232,0.0
pol1,132.14704855928485,312.72003382621085,208.71975235464043,6.2909914449259325
pol2,121.34790475759205,128.34063614513255,258.1528838618356,10.0
