Scenario,Production,Emissions,Steel Price,Carbon Price
Reference,136.7260696645826,390.900042247934,187.7592641967232,0.0
Cap (-20%),132.14704855928485,312.72003382621085,208.71975235464055,6.290991444925941
Tax ($10/tCO2),121.34790474379228,128.3406359095219,258.1528849916168,10.0
